299.38,1776988647.8282154,m1_k1_n100
299.38,1776988647.8782969,m1_k1_n100
299.38,1776988648.028922,m1_k1_n101
298.013,1776988648.0790186,m1_k1_n101
298.013,1776988648.1291103,m1_k1_n101
298.013,1776988648.2797632,m1_k1_n102
298.013,1776988648.3301382,m1_k1_n102
298.013,1776988648.380258,m1_k1_n102
298.013,1776988648.5308394,m1_k1_n103
299.854,1776988648.5809295,m1_k1_n103
299.854,1776988648.6309998,m1_k1_n103
299.854,1776988648.7815897,m1_k1_n104
299.854,1776988648.8316886,m1_k1_n104
299.854,1776988648.8817723,m1_k1_n104
299.854,1776988649.0324132,m1_k1_n105
286.731,1776988649.0825121,m1_k1_n105
286.731,1776988649.1326008,m1_k1_n105
286.731,1776988649.2830777,m1_k1_n106
286.731,1776988649.333174,m1_k1_n106
286.731,1776988649.3832576,m1_k1_n106
286.731,1776988649.533834,m1_k1_n107
286.127,1776988649.583911,m1_k1_n107
286.127,1776988649.6339765,m1_k1_n107
286.127,1776988649.7847672,m1_k1_n108
286.127,1776988649.8348665,m1_k1_n108
286.127,1776988649.8849363,m1_k1_n108
286.127,1776988650.0353575,m1_k1_n109
294.583,1776988650.085442,m1_k1_n109
294.583,1776988650.1355078,m1_k1_n109
294.583,1776988650.2869272,m1_k1_n110
294.583,1776988650.3370008,m1_k1_n110
294.583,1776988650.4874425,m1_k1_n111
294.583,1776988650.5375335,m1_k1_n111
302.664,1776988650.5876224,m1_k1_n111
302.664,1776988650.7384682,m1_k1_n112
302.664,1776988650.7885785,m1_k1_n112
302.664,1776988650.8386517,m1_k1_n112
302.664,1776988650.9891543,m1_k1_n113
302.664,1776988651.0392425,m1_k1_n113
303.047,1776988651.0893433,m1_k1_n113
303.047,1776988651.2399085,m1_k1_n114
303.047,1776988651.2900193,m1_k1_n114
303.047,1776988651.3400793,m1_k1_n114
303.047,1776988651.4906871,m1_k1_n115
303.047,1776988651.540808,m1_k1_n115
299.256,1776988651.5909138,m1_k1_n115
299.256,1776988651.7414365,m1_k1_n116
299.256,1776988651.7915337,m1_k1_n116
299.256,1776988651.8415987,m1_k1_n116
299.256,1776988651.9922564,m1_k1_n117
299.256,1776988652.0423496,m1_k1_n117
296.407,1776988652.0924308,m1_k1_n117
296.407,1776988652.2431674,m1_k1_n118
296.407,1776988652.2932417,m1_k1_n118
296.407,1776988652.3433132,m1_k1_n118
296.407,1776988652.493872,m1_k1_n119
296.407,1776988652.545018,m1_k1_n119
299.635,1776988652.5950978,m1_k1_n119
299.635,1776988652.7456892,m1_k1_n120
299.635,1776988652.7957804,m1_k1_n120
299.635,1776988652.8458648,m1_k1_n120
299.635,1776988652.9963927,m1_k1_n121
299.635,1776988653.0464768,m1_k1_n121
298.889,1776988653.0965543,m1_k1_n121
298.889,1776988653.2472525,m1_k1_n122
298.889,1776988653.2973433,m1_k1_n122
298.889,1776988653.347424,m1_k1_n122
298.889,1776988653.498081,m1_k1_n123
298.889,1776988653.5481548,m1_k1_n123
301.258,1776988653.5982845,m1_k1_n123
301.258,1776988653.7504318,m1_k1_n124
301.258,1776988653.8005054,m1_k1_n124
301.258,1776988653.8505797,m1_k1_n124
301.258,1776988654.0012767,m1_k1_n125
301.258,1776988654.051355,m1_k1_n125
300.121,1776988654.1014235,m1_k1_n125
300.121,1776988654.252207,m1_k1_n126
300.121,1776988654.3022933,m1_k1_n126
300.121,1776988654.352373,m1_k1_n126
300.121,1776988654.502938,m1_k1_n127
300.121,1776988654.5530114,m1_k1_n127
302.365,1776988654.603093,m1_k1_n127
302.365,1776988654.7537532,m1_k1_n128
302.365,1776988654.8038661,m1_k1_n128
302.365,1776988654.8539693,m1_k1_n128
302.365,1776988655.0047076,m1_k1_n256
302.365,1776988655.0548198,m1_k1_n256
302.829,1776988655.1049156,m1_k1_n256
302.829,1776988655.2554576,m1_k1_n384
302.829,1776988655.3055403,m1_k1_n384
302.829,1776988655.3556218,m1_k1_n384
302.829,1776988655.5061362,m1_k1_n512
302.829,1776988655.5562158,m1_k1_n512
299.567,1776988655.6063042,m1_k1_n512
299.567,1776988655.7571974,m1_k1_n640
299.567,1776988655.8073213,m1_k1_n640
299.567,1776988655.8574154,m1_k1_n640
299.567,1776988656.008172,m1_k1_n768
299.567,1776988656.0582654,m1_k1_n768
301.295,1776988656.1083481,m1_k1_n768
301.295,1776988656.2588763,m1_k1_n896
301.295,1776988656.3090117,m1_k1_n896
301.295,1776988656.359196,m1_k1_n896
301.295,1776988656.5097845,m1_k1_n1024
301.295,1776988656.5598745,m1_k1_n1024
300.449,1776988656.6099446,m1_k1_n1024
300.449,1776988656.7606096,m1_k1_n1152
300.449,1776988656.8106966,m1_k1_n1152
300.449,1776988656.8607728,m1_k1_n1152
300.449,1776988657.01178,m1_k1_n1280
300.449,1776988657.0620315,m1_k1_n1280
296.963,1776988657.11215,m1_k1_n1280
296.963,1776988657.263165,m1_k1_n1408
296.963,1776988657.3132746,m1_k1_n1408
296.963,1776988657.3633564,m1_k1_n1408
296.963,1776988657.5143633,m1_k1_n1536
296.963,1776988657.5644472,m1_k1_n1536
299.206,1776988657.6145318,m1_k1_n1536
299.206,1776988657.7651794,m1_k1_n1664
299.206,1776988657.8152819,m1_k1_n1664
299.206,1776988657.8653953,m1_k1_n1664
299.206,1776988658.016211,m1_k1_n1792
299.206,1776988658.066304,m1_k1_n1792
289.802,1776988658.1163921,m1_k1_n1792
289.802,1776988658.2670307,m1_k1_n1920
289.802,1776988658.317109,m1_k1_n1920
