gpu,dtype,op,world_size,size_bytes,time_us
H100-SXM-80GB,bfloat16,allgather,8,33554432,124.19372797012329
H100-SXM-80GB,bfloat16,allgather,8,67108864,210.35969257354736
H100-SXM-80GB,bfloat16,allgather,8,134217728,387.9070281982422
H100-SXM-80GB,bfloat16,allgather,8,268435456,1183.3667755126953
H100-SXM-80GB,bfloat16,allgather,8,536870912,1390.695571899414
H100-SXM-80GB,bfloat16,allgather,8,1073741824,2723.407745361328
H100-SXM-80GB,bfloat16,reducescatter,8,1024,22.674619685858488
H100-SXM-80GB,bfloat16,reducescatter,8,16384,23.015134502202272
H100-SXM-80GB,bfloat16,reducescatter,8,65536,24.180946638807654
H100-SXM-80GB,bfloat16,reducescatter,8,262144,26.325054932385683
H100-SXM-80GB,bfloat16,reducescatter,8,1048576,18.531689420342445
H100-SXM-80GB,bfloat16,reducescatter,8,1572864,48.90377570457123
H100-SXM-80GB,bfloat16,reducescatter,8,2097152,21.2877057492733
H100-SXM-80GB,bfloat16,reducescatter,8,3145728,66.33769731717375
H100-SXM-80GB,bfloat16,reducescatter,8,4194304,29.31058406829834
H100-SXM-80GB,bfloat16,reducescatter,8,6291456,35.552417530732995
H100-SXM-80GB,bfloat16,reducescatter,8,8388608,44.45016384124756
H100-SXM-80GB,bfloat16,reducescatter,8,12582912,55.94982820398667
H100-SXM-80GB,bfloat16,reducescatter,8,16777216,71.77144289016724
H100-SXM-80GB,bfloat16,reducescatter,8,25165824,302.24663870675226
H100-SXM-80GB,bfloat16,reducescatter,8,33554432,397.15319871902466
H100-SXM-80GB,bfloat16,reducescatter,8,67108864,200.51002502441406
H100-SXM-80GB,bfloat16,reducescatter,8,134217728,384.0446472167969
H100-SXM-80GB,bfloat16,reducescatter,8,268435456,724.2679595947266
H100-SXM-80GB,bfloat16,reducescatter,8,536870912,1639.5807266235352
H100-SXM-80GB,bfloat16,reducescatter,8,1073741824,2745.7475662231445
