gpu,dtype,op,world_size,size_bytes,time_us
B200-SXM-192GB,bfloat16,allgather,4,16384,20.746345398947597
B200-SXM-192GB,bfloat16,allgather,4,65536,22.470252588391304
B200-SXM-192GB,bfloat16,allgather,4,262144,19.33937892317772
B200-SXM-192GB,bfloat16,allgather,4,1048576,32.82306715846062
B200-SXM-192GB,bfloat16,allgather,4,1572864,16.228893984797413
B200-SXM-192GB,bfloat16,allgather,4,2097152,51.85045301914215
B200-SXM-192GB,bfloat16,allgather,4,3145728,21.147937718724226
B200-SXM-192GB,bfloat16,allgather,4,4194304,24.986453354358673
B200-SXM-192GB,bfloat16,allgather,4,6291456,133.3306817447438
B200-SXM-192GB,bfloat16,allgather,4,8388608,50.77384412288666
B200-SXM-192GB,bfloat16,allgather,4,12582912,56.42947028664982
B200-SXM-192GB,bfloat16,allgather,4,16777216,57.425349950790405
B200-SXM-192GB,bfloat16,allgather,4,25165824,64.6057583036877
B200-SXM-192GB,bfloat16,allgather,4,33554432,71.56282663345337
B200-SXM-192GB,bfloat16,allgather,4,67108864,111.81831359863281
B200-SXM-192GB,bfloat16,allgather,4,134217728,203.94325256347656
B200-SXM-192GB,bfloat16,allgather,4,268435456,378.44181060791016
B200-SXM-192GB,bfloat16,allgather,4,536870912,1188.2543563842773
B200-SXM-192GB,bfloat16,allgather,4,1073741824,1398.921012878418
B200-SXM-192GB,bfloat16,reducescatter,4,1024,21.647487301379442
B200-SXM-192GB,bfloat16,reducescatter,4,16384,23.28737173229456
B200-SXM-192GB,bfloat16,reducescatter,4,65536,22.740423446521163
B200-SXM-192GB,bfloat16,reducescatter,4,262144,21.51768421754241
B200-SXM-192GB,bfloat16,reducescatter,4,1048576,15.999656170606613
B200-SXM-192GB,bfloat16,reducescatter,4,1572864,69.21724839643998
B200-SXM-192GB,bfloat16,reducescatter,4,2097152,16.742385923862457
B200-SXM-192GB,bfloat16,reducescatter,4,3145728,20.53476149036038
B200-SXM-192GB,bfloat16,reducescatter,4,4194304,67.63823330402374
B200-SXM-192GB,bfloat16,reducescatter,4,6291456,33.3856133853688
B200-SXM-192GB,bfloat16,reducescatter,4,8388608,47.791749238967896
B200-SXM-192GB,bfloat16,reducescatter,4,12582912,50.88693955365349
B200-SXM-192GB,bfloat16,reducescatter,4,16777216,54.776668548583984
B200-SXM-192GB,bfloat16,reducescatter,4,25165824,63.06739080519903
B200-SXM-192GB,bfloat16,reducescatter,4,33554432,72.09926843643188
B200-SXM-192GB,bfloat16,reducescatter,4,67108864,113.56174945831299
B200-SXM-192GB,bfloat16,reducescatter,4,134217728,208.80699157714844
B200-SXM-192GB,bfloat16,reducescatter,4,268435456,391.2210464477539
B200-SXM-192GB,bfloat16,reducescatter,4,536870912,840.6877517700195
B200-SXM-192GB,bfloat16,reducescatter,4,1073741824,1374.0062713623047
