gpu,dtype,variant,num_heads,num_heads_kv,head_size,batch_size,seq_len,window_left,window_right,causal,time(us),mem_clk_freq,graph_clk_freq,avg_power(W),avg_energy(uJ)
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,256,-1,-1,1,208,3996,1965,410.13,85307.04
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,256,-1,-1,1,207,3996,1965,357.5,74002.5
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,256,-1,-1,1,208,3996,1965,357.5,74360.0
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,256,-1,-1,1,208,3996,1965,300.728,62551.424
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,512,-1,-1,1,534,3996,1965,304.74850000000004,162735.69900000002
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,512,-1,-1,1,535,3996,1965,341.723,182821.805
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,512,-1,-1,1,534,3996,1965,372.597,198966.79799999998
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,512,-1,-1,1,536,3996,1965,405.751,217482.536
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,1024,-1,-1,1,1628,3996,1965,465.0605,757118.494
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,1024,-1,-1,1,1627,3996,1965,581.36225,945876.38075
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,1024,-1,-1,1,1627,3996,1965,650.34025,1058103.58675
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,1024,-1,-1,1,1628,3996,1965,700.881,1141034.268
B200-SXM-192GB,bfloat16,gqa,64,4,128,32,2048,-1,-1,1,5699,3996,1965,743.595,4237747.905
B200-SXM-192GB,bfloat16,gqa,64,8,128,32,2048,-1,-1,1,5698,3996,1965,788.49425,4492840.2365
B200-SXM-192GB,bfloat16,gqa,64,16,128,32,2048,-1,-1,1,5698,3996,1965,815.511,4646781.677999999
B200-SXM-192GB,bfloat16,gqa,64,32,128,32,2048,-1,-1,1,5700,3996,1965,846.61825,4825724.025
B200-SXM-192GB,bfloat16,gqa,64,4,128,64,16,-1,-1,1,77,3996,1965,854.513,65797.501
B200-SXM-192GB,bfloat16,gqa,64,8,128,64,16,-1,-1,1,79,3996,1965,861.272,68040.488
B200-SXM-192GB,bfloat16,gqa,64,16,128,64,16,-1,-1,1,79,3996,1965,861.272,68040.488
B200-SXM-192GB,bfloat16,gqa,64,32,128,64,16,-1,-1,1,78,3996,1965,803.222,62651.316
B200-SXM-192GB,bfloat16,gqa,64,4,128,64,32,-1,-1,1,77,3996,1965,803.222,61848.094
B200-SXM-192GB,bfloat16,gqa,64,8,128,64,32,-1,-1,1,80,3996,1965,741.796,59343.68000000001
B200-SXM-192GB,bfloat16,gqa,64,16,128,64,32,-1,-1,1,83,3996,1965,741.796,61569.06800000001
B200-SXM-192GB,bfloat16,gqa,64,32,128,64,32,-1,-1,1,83,3996,1965,692.724,57496.092000000004
B200-SXM-192GB,bfloat16,gqa,64,4,128,64,64,-1,-1,1,89,3996,1965,626.765,55782.085
B200-SXM-192GB,bfloat16,gqa,64,8,128,64,64,-1,-1,1,89,3996,1965,626.765,55782.085
B200-SXM-192GB,bfloat16,gqa,64,16,128,64,64,-1,-1,1,90,3996,1965,578.64,52077.6
B200-SXM-192GB,bfloat16,gqa,64,32,128,64,64,-1,-1,1,90,3996,1965,578.64,52077.6
B200-SXM-192GB,bfloat16,gqa,64,4,128,64,128,-1,-1,1,141,3996,1965,520.016,73322.256
B200-SXM-192GB,bfloat16,gqa,64,8,128,64,128,-1,-1,1,141,3996,1965,520.016,73322.256
